Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP001735;;75018;9;1;SG Mission des JO 2024;CONSTRUCTION_IMMEUBLE;Arena 2;avenue de la Porte de la Chapelle;n°6;2020-09-07;2023-07-31;BARRAGE_TOTAL;"entre le bd Ney et l'avenue de la pte de la Chapelle.
Le bd Ney sera réduit à une file au niveau de l'accès de chantier.
Fermeture accès BP du 22/08/22 au 31/09/23";2;2;;"{""coordinates"": [[[2.3603260350936983, 48.89878775856859], [2.3601471741019475, 48.89875995133474], [2.3598849492070966, 48.89888743914395], [2.3595561756507086, 48.89912735011801], [2.359480887800005, 48.89928805990154], [2.359617900825142, 48.899406941074794], [2.3598871745534344, 48.90003134705187], [2.3623214185946586, 48.900099862545694], [2.3624132449545328, 48.89859486607447], [2.3622882354237444, 48.898599571206205], [2.362229552931679, 48.89873534500308], [2.360439273320176, 48.898852808318075], [2.3603259031289747, 48.89879849839457], [2.3603178236364073, 48.89879308452548], [2.360334047246322, 48.8987985418932], [2.3603260350936983, 48.89878775856859]]], ""type"": ""Polygon""}";48.89941650246351, 2.3610672014134044
CP002368;654245;75005;12;2;Eau de Paris;ENTRETIEN_RESEAU;Renouvellement conduits EP;Gobelins, Monge, Censier et Mirbel;13-17 av Gobelins + 111-115 rue Monge + 30 rue Censier + 1-5 rue Mirebel (base vie);2022-08-08;2023-01-20;RESTREINTE;Déviation circulation générale (Bus + vélos);2;2;;"{""coordinates"": [[[2.352170678013787, 48.84077012166218], [2.3526260571896014, 48.84065790093449], [2.352594128082261, 48.84060941340265], [2.3519975760479093, 48.84018477003617], [2.3516942193394015, 48.840054286983424], [2.3515721026839387, 48.840064361709885], [2.35132994869364, 48.83959063679239], [2.351244193121893, 48.83961969788606], [2.351411327529303, 48.83991317748432], [2.352170678013787, 48.84077012166218]]], ""type"": ""Polygon""}";48.84036171643268, 2.3520135239093847
CP002390;689822;75014;12;3;Congrégation St Joseph;REHABILITATION_IMMEUBLE;;Rue Méchain;du 19b au 21;2022-10-05;2023-12-15;RESTREINTE;Maintien de 4,00m de circulation;2;2;;"{""coordinates"": [[[[2.3384636559592034, 48.835731183956824], [2.3384920117960966, 48.83576592962471], [2.3386536950961507, 48.835750643146774], [2.3386599930083736, 48.83570879703888], [2.3384636559592034, 48.835731183956824]]], [[[2.3384636163956105, 48.835731188234845], [2.3384636559592034, 48.835731183956824], [2.338463140817023, 48.83573055244859], [2.3384636163956105, 48.835731188234845]]]], ""type"": ""MultiPolygon""}";48.83573836601194, 2.3385684617326348
CP002429;662837;75015;13;3;SCCV Porte de Brancion;CONSTRUCTION_IMMEUBLE;Construction neuve, résidence sociale et commerces;Avenue de la Porte de Brancion;Carrefour au-dessus du périphérique;2022-11-14;2024-03-15;RESTREINTE;restriction à é files de circulation, maintien de la piste vélos et cheminement piétons.;2;2;;"{""coordinates"": [[[2.299950868215911, 48.82590374090184], [2.30015215168723, 48.82580973482902], [2.3001655346281953, 48.82561825396621], [2.3000555103777676, 48.82562593831276], [2.299795085098483, 48.825695802137254], [2.299950868215911, 48.82590374090184]]], ""type"": ""Polygon""}";48.82574599992239, 2.300005595088703
CP002276;;75017;9;3;ICF HABITAT;CONSTRUCTION_IMMEUBLE;"Création de 111 logements sociaux.
Emprise principale sur trottoir + 18 ml sur chaussée (livraison)";Voie Bus;Entre le 188 bis et 188 ter avenue de Clichy;2022-05-02;2024-06-30;RESTREINTE;"Déviation bus dans circulation générale
Création PP avec CP provisoire au n°188
Perche SLT au n° 188 bis + dépose socle Devault + feu G sur TPC au n° 190";2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/PIC 188bis av. Clichy - version 2.pdf;"{""coordinates"": [[[2.315884598767695, 48.89320306231301], [2.315774765008548, 48.89315817632153], [2.3157740498147716, 48.89315769649222], [2.31564390066753, 48.8932307162974], [2.315668889168939, 48.89325132233803], [2.3155074388194286, 48.89334462724541], [2.315564610758674, 48.893387784367086], [2.315884598767695, 48.89320306231301]]], ""type"": ""Polygon""}";48.89326507701689, 2.3156964416358314
CP002462;811800;75017;9;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement cyclable + Carrefour rue Cardinet angle rue Rostropovitch;Rue Cardinet;145 à 149 rue Cardinet;2023-02-13;2023-04-28;SENS_UNIQUE;"Ph1 : maintien 2 files de circulation
Ph2 : Mise à sens unique rue Cardinet (sens Clichy vers Rome)";2;2;;"{""coordinates"": [[[2.3157084435755957, 48.888766438268014], [2.3158172932352237, 48.88872089864788], [2.3156348284874997, 48.888492377934924], [2.31505754664385, 48.88788516506108], [2.3148794579903957, 48.88776326823459], [2.3147580053001637, 48.88783443414503], [2.314913202138374, 48.887940970927865], [2.3155083852994744, 48.88855875589316], [2.3157077096757077, 48.88876738646274], [2.3157084435755957, 48.888766438268014]]], ""type"": ""Polygon""}";48.88824928819359, 2.3153015184993593
CP002467;810443;75014;12;1;DVD - MAC;REAMENAGEMENT_VOIRIE;Désamiantage et aménagement cyclable;rue du Faubourg Saint Jacques;Entre le boulevard Saint Jacques et le boulevard Arago;2023-03-06;2023-06-09;RESTREINTE;Circulations restreintes sur la Ph1 et la Ph3 + barrage sur la Ph2;2;2;;"{""coordinates"": [[[2.3367799475457605, 48.83449255167218], [2.336944065559544, 48.8344839435435], [2.336960299750293, 48.83448284367034], [2.3364397643135733, 48.83360783707633], [2.336560219417048, 48.833489525663964], [2.336580996533342, 48.833414683707126], [2.336564459455936, 48.8332979920758], [2.335837385194988, 48.833499791532574], [2.335907077145538, 48.83354658066962], [2.3359838569370743, 48.833602927159056], [2.336087940511892, 48.83363800932921], [2.336282358034022, 48.83365574559813], [2.3365033843619147, 48.83399011422473], [2.3367875804451597, 48.834459280413995], [2.336787550181088, 48.83446165908113], [2.3367799475457605, 48.83449255167218]]], ""type"": ""Polygon""}";48.83376707234253, 2.3364389061873836
CP002471;814301;75008;9;1;STV;REFECTION_CHAUSSEE;Reprise de pavage;Place du CANADA;Coté Albert er / Pont des Invalides;2023-04-06;2023-05-05;RESTREINTE;Maintien de 3,00m et Fermeture du contre sens Bus vers le 7ème;1;2;;"{""coordinates"": [[[2.3099176449909593, 48.86456021030826], [2.309815254848495, 48.86455724020254], [2.3098362437801216, 48.864606379347556], [2.3104224612182853, 48.86462355986165], [2.310389770445115, 48.86453199766828], [2.3099176449909593, 48.86456021030826]]], ""type"": ""Polygon""}";48.864581191009634, 2.310150819791415
CP002518;721280;75010;11;1;STV-C 10e;REFECTION_CHAUSSEE;Réfection du tapis;Boulevard de Magenta;De la place du 8 mai 1945 à la place Valenciennes;2023-07-10;2023-09-01;RESTREINTE;"Barrage totale les nuits du 9 au 11 aout 2023
De jour, en laissant une largeur de 3ml à chaque phase du chantier";2;2;;"{""coordinates"": [[[2.3561743292688764, 48.87627920136342], [2.3559732812566114, 48.876200786104505], [2.3559733106798797, 48.876198406622706], [2.354105110560751, 48.87834297239734], [2.3542666750766874, 48.8784057109133], [2.3561743292688764, 48.87627920136342]]], ""type"": ""Polygon""}";48.87726674983075, 2.355165065327817
CP002169;;75014;12;2;RATP RER;TRAVAUX_OUVRAGE;Base vie pour création sorties supplémentaires RER.;Place Denfert Rochereau;Contre allée coté Est;2021-11-08;2023-07-04;RESTREINTE;Déplacement du passage piétons coté Ouest centre place et neutralisation de la contre allée.;2;2;;"{""coordinates"": [[[[2.3324814046179307, 48.83413860435074], [2.3327426941445473, 48.83427688631628], [2.3331193043190193, 48.83409101097215], [2.3332265696537537, 48.83397345230322], [2.333294052237816, 48.83378585268434], [2.3333273475858727, 48.83372696036534], [2.3329642349614823, 48.833493994347485], [2.332865655146732, 48.83356863469825], [2.3331077757284078, 48.83372036525181], [2.3331471441096503, 48.83382262922859], [2.333064216172524, 48.83394569369624], [2.3328103163330147, 48.83407854659821], [2.3324814046179307, 48.83413860435074]]], [[[2.3324805101910373, 48.83413876754145], [2.332467827053632, 48.834141083688415], [2.33250022819938, 48.83415200660427], [2.3324805101910373, 48.83413876754145]]], [[[2.3324805101910373, 48.83413876754145], [2.3324814046179307, 48.83413860435074], [2.3324760298091833, 48.83413575932264], [2.3324805101910373, 48.83413876754145]]]], ""type"": ""MultiPolygon""}";48.83393705608835, 2.3329919285070484
